星空卫视[768*576][768*576],rtmp://ivi.bupt.edu.cn:1935/livetv/startv
贵州卫视[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227060/index.m3u8

贵州卫视[1047*576][1047*576],http://223.110.246.69/ott.js.chinamobile.com/PLTV/4/224/3221225787/index.m3u8

辽宁卫视[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226881/index.m3u8

辽宁卫视[1920*1080][1920*1080],http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227700/index.m3u8

重庆卫视[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225949/index.m3u8

重庆卫视[1920*1080][1920*1080],http://223.110.246.78/ott.js.chinamobile.com/PLTV/4/224/3221227632/index.m3u8

黑龙江卫视[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221225940/index.m3u8

黑龙江卫视[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227056/index.m3u8

黑龙江卫视[1920*1080][1920*1080],http://223.110.248.16/ott.js.chinamobile.com/PLTV/4/224/3221227753/index.m3u8

安徽卫视[1920*1080][1920*1080],http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227759/index.m3u8

天津卫视[1920*1080][1920*1080],http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227756/index.m3u8

广东卫视[1920*1080][1920*1080],http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221227691/index.m3u8

东南卫视[1920*1080][1920*1080],http://223.110.245.151/ott.js.chinamobile.com/PLTV/3/224/3221227670/index.m3u8

甘肃卫视[1047*576][1047*576],http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221225846/index.m3u8

广西卫视[1047*576][1047*576],http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221225806/index.m3u8

吉林卫视[1047*576][1047*576],http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221225883/index.m3u8

内蒙古卫视[1047*576][1047*576],http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221225836/index.m3u8

宁夏卫视[1047*576][1047*576],http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221225842/index.m3u8

山西卫视[1047*576][1047*576],http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221225786/index.m3u8

陕西卫视[1047*576][1047*576],http://223.110.246.67/ott.js.chinamobile.com/PLTV/4/224/3221227022/index.m3u8

西藏卫视[1047*576][1047*576],http://223.110.246.72/ott.js.chinamobile.com/PLTV/4/224/3221226376/index.m3u8

新疆卫视[1047*576][1047*576],http://223.110.246.71/ott.js.chinamobile.com/PLTV/4/224/3221225844/index.m3u8

青海卫视[1047*576][1047*576],http://223.110.246.69/ott.js.chinamobile.com/PLTV/4/224/3221225783/index.m3u8

厦门卫视[1047*576][1047*576],http://223.110.246.73/ott.js.chinamobile.com/PLTV/4/224/3221226996/index.m3u8

云南卫视[1047*576][1047*576],http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221225838/index.m3u8

兵团卫视[1047*576][1047*576],http://223.110.246.66/ott.js.chinamobile.com/PLTV/4/224/3221227025/index.m3u8

南方卫视[1047*576][1047*576],http://223.110.246.70/ott.js.chinamobile.com/PLTV/4/224/3221227005/index.m3u8

蓝光地方,#genre#

浙江6套[1920*1080][1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8?k=7902d458851930a3cab9763349e1425c&t=1577153702

浙江新闻频道[1920*1080][1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8?k=4812130c6c3788cf5c6a6ba64a47678c&t=1577153743

浙江少儿频道[1920*1080][1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8?k=1a7559a51eeb880b021619a07f463ac4&t=1577153787

浙江留学频道[1920*1080][1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8?k=e50bfc43311fc5aecad39f294634bb01&t=1577153817

浙江国际[1920*1080][1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8?k=48877e6c28c2a0215eb8712eb48b888d&t=1577153884

上海新闻综合[1920*1080][1920*1080],http://183.207.255.188/live/program/live/xwzhhd/4000000/mnf.m3u8

上海东方影视[1920*1080][1920*1080],http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8

上海外语[1920*1080][1920*1080],http://183.207.255.188/live/program/live/wypdhd/4000000/mnf.m3u8

上海都市[1920*1080][1920*1080],http://183.207.255.188/live/program/live/ylpdhd/4000000/mnf.m3u8

上海生活时尚[1920*1080][1920*1080],http://183.207.255.188/live/program/live/shsshd/4000000/mnf.m3u8

上海纪实[1920*1080][1920*1080],http://183.207.255.188/live/program/live/jspdhd/4000000/mnf.m3u8

亲子卡通,#genre#

福建少儿 8M1080[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226960/index.m3u8

Hot少儿动漫 720[1280*720][1280*720],http://39.134.176.151/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228387/01.m3u8?fmt=ts2hls

优漫卡通[1047*576][1047*576],http://117.136.156.107/PLTV/88888888/224/3221225556/index.m3u8

优漫卡通[785*576][785*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8

金鹰卡通[1920*1080][1920*1080],http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221227018/index.m3u8

金鹰卡通[768*576][768*576],http://117.136.156.107/PLTV/88888888/224/3221225552/index.m3u8

金鹰卡通[768*576][768*576],http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8

卡酷少儿[768*576][768*576],http://ivi.bupt.edu.cn/hls/btv10.m3u8

CCTV-14少儿[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8

CCTV-14少儿[1920*1080][1920*1080],http://39.135.138.58:18890/PLTV/88888910/224/3221225640/index.m3u8

嘉佳卡通[720*540][720*540],http://117.136.156.107/PLTV/88888888/224/3221225637/index.m3u8

甘肃少儿[1920*1080][1920*1080],http://39.134.39.39/PLTV/88888888/224/3221226289/index.m3u8

浙江少儿[1920*1080][1920*1080],http://hw-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8

山东少儿[720*406][720*406],http://livealone302.iqilu.com/iqilu/sepd.m3u8

福州少儿[1920*1080][1920*1080],http://live.zohi.tv/video/s10001-sepd-4/index.m3u8

南京少儿[1280*720][1280*720],http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8

体育娱乐,#genre#

蒙古足球[1920*1080][1920*1080],http://nmglive.imfc.cn/5n1r1c/182396.m3u8

央视台球[785*576][785*576],http://39.134.19.246:6610/yinhe/2/ch00000090990000001669/index.m3u8?virtualDomain=yinhe.live_hls.zte.com&IASHttpSessionId=RR412920210403002853601204

篮球[1047*576][1047*576],http://223.110.241.137:6610/gitv/live1/G_LANQIU/G_LANQIU/.m3u8

吉林篮球电信[768*576][768*576],http://stream1.jlntv.cn/lqpd/sd/live.m3u8

上海五星体育[1920*1080][1920*1080],http://183.207.255.188/live/program/live/ssty/4000000/mnf.m3u8

五星体育频道[1280*720][1280*720],http://183.207.255.188/live/program/live/ssty/2300000/mnf.m3u8

CCTV-5体育[1920*1080][1920*1080],http://223.110.245.165/ott.js.chinamobile.com/PLTV/3/224/3221227401/index.m3u8

咪咕视频·PP体育1[1920*1080][1920*1080],http://39.134.65.162/PLTV/88888888/224/3221225611/index.m3u8

劲爆体育[1920*1080][1920*1080],http://183.207.255.188/live/program/live/jbtyhd/4000000/mnf.m3u8

魅力足球[1920*1080][1920*1080],http://183.207.255.188/live/program/live/mlyyhd/4000000/mnf.m3u8

SiTV动漫秀场 1080[1920*1080][1920*1080],http://183.207.255.188/live/program/live/dmxchd/4000000/mnf.m3u8

SiTV欢笑剧场 1080[1920*1080][1920*1080],http://183.207.255.188/live/program/live/hxjchd/4000000/mnf.m3u8

SiTV极速汽车 1080[1920*1080][1920*1080],http://183.207.255.188/live/program/live/jsqchd/4000000/mnf.m3u8

记录探索,#genre#

Channel V音乐台[768*576][768*576],rtmp://ivi.bupt.edu.cn:1935/livetv/channelv

Channel[768*576][768*576],rtmp://58.200.131.2:1935/livetv/channelv

探索频道[1024*576][1024*576],rtmp://58.200.131.2:1935/livetv/discovery

国家地理频道[1024*576][1024*576],rtmp://58.200.131.2:1935/livetv/natlgeo

全纪实[1920*1080][1920*1080],http://183.207.255.188/live/program/live/qjshd/4000000/mnf.m3u8

CCTV发现之旅[1047*576][1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226235/index.m3u8

CCTV老故事[1047*576][1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226236/index.m3u8

CCTV女性时尚[1047*576][1047*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226237/index.m3u8

相声小品[785*576][785*576],http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226346/index.m3u8

new剧场,#genre#

NewTV爱情喜剧[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8

NewTV惊悚悬疑[1920*1080][1920*1080],http://39.134.66.66/PLTV/88888888/224/3221225553/index.m3u8

