有线18台,rtmp://59.124.75.130/sat/hk042
凤凰卫视中文台,http://117.169.120.138:8080/live/fhchinese/.m3u8
凤凰卫视中文台,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226922/index.m3u8
凤凰卫视中文台1,http://117.169.124.37:6610/ysten-businessmobile/live/fhchinese/1.m3u8
凤凰卫视香港台,http://223.110.245.136/PLTV/3/224/3221226975/index.m3u8?icpid=88888888&from=0&hms_devid=3804
鳳凰資訊,http://117.169.120.138:8080/live/fhzixun/.m3u8
鳳凰資訊,http://183.207.249.35/PLTV/3/224/3221226923/index.m3u8
凤凰卫视资讯台,http://223.110.245.167/ott.js.chinamobile.com/PLTV/3/224/3221226923/index.m3u8

WWE,http://47.242.54.220/daili/ce50.php?gun=3&id=wwe_pye
TVB 翡翠,http://47.242.54.220/daili/ce50.php?gun=1&id=Jade
天映经典,http://47.242.54.220/daili/ce50.php?gun=3&id=celestial2_pye
天映频道,http://47.242.54.220/daili/ce50.php?gun=3&id=celestial_pye
CATCHPAYj电影台,http://47.242.54.220/daili/ce50.php?gun=3&id=cmovie_pye
三立都会台,http://47.242.54.220/daili/ce50.php?gun=3&id=sldou_pye
三立都会台,http://50.7.59.216:61980/myplay/cn_4_14024/index.m3u8?key=84797b799ae18d1b
三立台湾台,http://47.242.54.220/daili/ce50.php?gun=3&id=sltw_pye
三立台湾台,http://50.7.59.216:61980/myplay/cn_4_14023/index.m3u8?key=84797b799ae18d1b
民视台,http://50.7.59.216:61980/myplay/cn_0_8813/index.m3u8?key=84797b799ae18d1b
民视台新闻台,http://50.7.59.216:61980/myplay/cn_0_8820/index.m3u8?key=84797b799ae18d1b
公视台,http://50.7.59.216:61980/myplay/cn_0_8817/index.m3u8?key=84797b799ae18d1b
公视台语,http://50.7.59.216:61980/myplay/cn_0_8818/index.m3u8?key=84797b799ae18d1b
公视台3,http://50.7.59.216:61980/myplay/cn_0_8819/index.m3u8?key=84797b799ae18d1b
台视台,http://50.7.59.216:61980/myplay/cn_0_8815/index.m3u8?key=84797b799ae18d1b
台视台综合台,http://50.7.59.216:61980/myplay/cn_0_8828/index.m3u8?key=84797b799ae18d1b
台视台新闻台,http://50.7.59.216:61980/myplay/cn_0_8822/index.m3u8?key=84797b799ae18d1b
华视台,http://50.7.59.216:61980/myplay/cn_0_8816/index.m3u8?key=84797b799ae18d1b
华视台新闻台资讯,http://50.7.59.216:61980/myplay/cn_0_8823/index.m3u8?key=84797b799ae18d1b
客家电视台,http://50.7.59.216:61980/myplay/cn_0_8825/index.m3u8?key=84797b799ae18d1b
原住民,http://50.7.59.216:61980/myplay/cn_0_8824/index.m3u8?key=84797b799ae18d1b
